Source;Type;Target;Weight
Pierre_Bezukhov;Undirected;Princess_Elisabeta__Lisa__Karlovna_Bolkonskaya;4
NatashaRostova;Undirected;Sonya_Rostova;3
Count_Ilya_Rostov;Undirected;Marya_Dmitriyevna_Akhrosimova;2
NatashaRostova;Undirected;Vera_Rostova;1
AndreyBolkonsky;Undirected;Pierre_Bezukhov;2
Princess_Anna_Mikhaylovna_Drubetskaya;Undirected;Vasili_Kuragin;2
AndreyBolkonsky;Undirected;Princess_Elisabeta__Lisa__Karlovna_Bolkonskaya;1
Hippolyte_Kuragin;Undirected;Princess_Elisabeta__Lisa__Karlovna_Bolkonskaya;1
Countess_Natalya_Rostova;Undirected;Princess_Anna_Mikhaylovna_Drubetskaya;3
Boris_Drubetskoy;Undirected;Princess_Anna_Mikhaylovna_Drubetskaya;4
Nikolai_Rostov;Undirected;Sonya_Rostova;6
Prince_Nikolay_Bolkonsky;Undirected;Princess_Elisabeta__Lisa__Karlovna_Bolkonskaya;3
Hippolyte_Kuragin;Undirected;Vasili_Kuragin;1
Boris_Drubetskoy;Undirected;Nikolai_Rostov;1
Boris_Drubetskoy;Undirected;Countess_Natalya_Rostova;3
Anna_Pavlovna_Scherer;Undirected;Pierre_Bezukhov;11
Anna_Pavlovna_Scherer;Undirected;Vasili_Kuragin;3
Countess_Natalya_Rostova;Undirected;Pierre_Bezukhov;1
Boris_Drubetskoy;Undirected;Count_Kirill_Bezukhov;1
Lieutenant_Alphonse_Karlovich_Berg;Undirected;Vera_Rostova;2
Princess_Anna_Mikhaylovna_Drubetskaya;Undirected;Pyotr_Nikolaitch_Shinshin;1
Anatole_Kuragin;Undirected;AndreyBolkonsky;1
AndreyBolkonsky;Undirected;Prince_Nikolay_Bolkonsky;6
Napoleon_Bonaparte;Undirected;Pierre_Bezukhov;1
Anatole_Kuragin;Undirected;Pierre_Bezukhov;8
Count_Ilya_Rostov;Undirected;Countess_Natalya_Rostova;3
Anna_Pavlovna_Scherer;Undirected;Princess_Elisabeta__Lisa__Karlovna_Bolkonskaya;2
Boris_Drubetskoy;Undirected;NatashaRostova;5
Mikhail_Ilarionovich_Kutuzov;Undirected;Princess_Anna_Mikhaylovna_Drubetskaya;1
Count_Kirill_Bezukhov;Undirected;Marya_Lvovna_Karagina;1
Prince_Nikolay_Bolkonsky;Undirected;Princess_Mariya_Bolkonskaya;2
Pierre_Bezukhov;Undirected;Vasili_Kuragin;5
Petya_Rostov;Undirected;Sonya_Rostova;1
Petya_Rostov;Undirected;Pierre_Bezukhov;1
Nikolai_Rostov;Undirected;Princess_Anna_Mikhaylovna_Drubetskaya;1
Julie_Karagina;Undirected;Nikolai_Rostov;7
Count_Kirill_Bezukhov;Undirected;Fedor_Ivanovich_Dolokhov;1
Pierre_Bezukhov;Undirected;Princess_Anna_Mikhaylovna_Drubetskaya;22
Princess_Anna_Mikhaylovna_Drubetskaya;Undirected;Vera_Rostova;1
Count_Ilya_Rostov;Undirected;Marya_Lvovna_Karagina;1
Anatole_Kuragin;Undirected;Fedor_Ivanovich_Dolokhov;3
AndreyBolkonsky;Undirected;Hippolyte_Kuragin;1
Lieutenant_Alphonse_Karlovich_Berg;Undirected;Pyotr_Nikolaitch_Shinshin;1
Count_Ilya_Rostov;Undirected;Vera_Rostova;1
Boris_Drubetskoy;Undirected;Lieutenant_Alphonse_Karlovich_Berg;1
Boris_Drubetskoy;Undirected;Count_Ilya_Rostov;1
Nikolai_Rostov;Undirected;Vera_Rostova;2
Boris_Drubetskoy;Undirected;Pierre_Bezukhov;7
Countess_Natalya_Rostova;Undirected;NatashaRostova;4
NatashaRostova;Undirected;Pierre_Bezukhov;3
Fedor_Ivanovich_Dolokhov;Undirected;Pierre_Bezukhov;3
Anna_Pavlovna_Scherer;Undirected;Hippolyte_Kuragin;1
